start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-06,20,4.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,21,1.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,22,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,23,5.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,0,2.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,1,4.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,2,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,3,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,4,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,5,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,6,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,7,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,8,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,9,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,10,3.0,0.9499999999999998,3.7999999999999994,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,11,5.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,12,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,13,2.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,14,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,15,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,16,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,17,3.0,0.9499999999999998,3.7999999999999994,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,18,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,19,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,20,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,21,1.0,0.95,3.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,22,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-07,23,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-08,0,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,2,January
Central Square at Mass Ave / Essex St,2024-01-08,1,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,2,January
Central Square at Mass Ave / Essex St,2024-01-08,2,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,2,January
Central Square at Mass Ave / Essex St,2024-01-08,3,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,2,January
Central Square at Mass Ave / Essex St,2024-01-08,4,0.0,0.95,3.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Monday,False,2,January
Central Square at Mass Ave / Essex St,2024-01-08,5,1.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,Monday,False,2,January
